Mouser Part Number,Quantity,Manufacturer Part Number,Customer Part Number,Description
660-MF1/4DCT52R1000F,1,MF1/4DCT52R1000F,R55,RES 100R
660-MF1/4DCT52R3900F,4,MF1/4DCT52R3900F,"R53,R54,R59,R60",RES 390R
80-C320C104K5R,23,C320C104K5R5TA,"C2,C3,C9,C10,C11,C12,C13,C14,C17,C18,C19,C21,C26,C28,C29,C32,C37,C38,C39,C40,C41,C42,C44",CAP 0.1uF 50V
652-MF-R110,1,MF-R110,F1,Polyfuse 1.1A/2.2A 30V
660-MF1/4DCT52R1201F,1,MF1/4DCT52R1201F,R2,RES 1.2K
660-MF1/4DCT52R1501F,3,MF1/4DCT52R1501F,"R18, R56,R57",RES 1.5K
660-MF1/4DC1003F,22,MF1/4DC1003F,"R3,R10,R20,R21,R27,R28,R29,R31,R32,R33,R34,R36,R37,R40,R42,R43,R44,R45,R47,R48,R51,R61",RES 100K
660-MF1/4DC1002F,9,MF1/4DC1002F,"R5,R38,R39,R41,R49,R50,R52,R58,R63",RES 10K
810-FG11X7R1H106KRT6,1,FG11X7R1H106KRT06,C1,CAP 10uF CER
660-MF1/4DCT52R1202F,1,MF1/4DCT52R1202F,R1A,RES 12K
80-C315C180J1G,2,C315C180J1G5TA,"C15,C16",CAP 18pF
660-MF1/4DC1001F,4,MF1/4DC1001F,"R14,R15,R19,R62",RES 1K
660-MF1/4DCT52R1004F,4,MF1/4DCT52R1004F,"R12,R23,R25,R26",RES 1M
621-1N4004,2,1N4004-T,"D1,D4",DIODE 1N4004
512-1N4148,3,1N4148,"D2,D3,D5",DIODE 1N4148
80-C315C102K1G,2,C315C102K1G5TA,"C25,C27",CAP 1nF
80-C315C105K3R,11,C315C105K3R5TA,"C20,C22,C23,C24,C30,C31,C33,C34,C35,C36,C43",CAP 1uF
660-MF1/4DCT52R2003F,2,MF1/4DCT52R2003F,"R35,R46",RES 200K
660-MF1/4DCT52R2002F,6,MF1/4DCT52R2002F,"R11,R16,R17,R22,R24,R4",RES 20K
517-N2524-6002RB,2,N2524-6002RB,"J10,J11",3M Wall Header
512-2N3904BU,2,2N3904BU,"Q7,Q8",TRANS. 2N3904 NPN
660-MF1/4DCT52R3301F,1,MF1/4DCT52R3301F,R6,RES 3.3K
660-MF1/4DCT52R2201F,2,MF1/4DCT52R2201F,"R7,R8",RES 2.2K
660-MF1/4DC4701F,2,MF1/4DC4701F,"R9,R13",RES 4.7K
595-CD4066BE,1,CD4066BE,U3,CD4066N Quad Bilateral Switch
495-TSR-1-2450,1,TSR 1-2450,U13,5V Switching Regulator (replaces 7805)
511-L7809CV,2,L7809CV,"U11,U12",VREG 9V LDO
717-9B-8.000MEEJ-B,1,815-ABL-8-B2,XTAL1,8MHz XTAL HC-49S
556-ATMEGA16A-PU,1,ATMEGA16A-PU,U1,ATmega16A MCU PDIP-40
763-0216K1Z-NSW-BBW,1,NHD-0216K1Z-NSW-FBW-L,LCD1,LCD 16x2 HD44780
942-IRF9Z24NPBF,6,IRF9Z24NPBF,"Q3,Q6 (Vt-matching pool: order 6, install 2 closest-matched pair)","MOSFET P-ch 60V 8A IRF9Z24N"
942-IRL520NPBF,12,IRL520NPBF,"Q1,Q2,Q4,Q5 (Vt pool: order 12 — measure all; install 2 closest-matched per channel: Q1+Q2 for ch.A, Q4+Q5 for ch.B)","MOSFET N-ch 100V 10A IRL520N"
571-5-146254-3,1,5-146254-3,JP1,ISP 6-pin Header
926-LM2941CT/NOPB,1,LM2941CT/NOPB,U14,LM2941 Adj. Linear Reg.
595-LM324N,1,LM324N,U2,LM324 Quad Op-Amp
512-LM358N,2,LM358N,"U10,U4",LM358 Dual Op-Amp
604-WP7113OD,2,WP7113OD,"LED1,LED2",LED 5mm Orange (Activity)
604-WP7113ID,1,WP7113ID,LED3,LED 5mm Red (Radio)
604-WP7113GD,1,WP7113GD,LED4,LED 5mm Green (Power)
700-MAX232CPE,1,MAX232CPE,U9,MAX232 RS-232 Driver/Receiver
517-4814-3004-CP,2,4814-3004-CP,"SOCKET FOR U2,U3",DIP-14 Socket (dual-wipe)
517-4816-3004-CP,1,4816-3004-CP,SOCKET FOR U9,DIP-16 Socket (dual-wipe)
517-4840-6004-CP,1,4840-6004-CP,SOCKET FOR U1,DIP-40 Socket (dual-wipe square-hole)
571-1-2199298-2,4,1-2199298-2,"SOCKET FOR U10,U4,U8(A/B)",DIP-8 Socket (dual-wipe)
571-5-146285-2,2,5-146285-2,"JP6,JP7",2x1 SIP Header 0.1in
688-RK09L1140A2U,2,RK09L1140A2U,"VR1, VR2",ALPS 9mm 10K Pot
688-RK09L1240A12,1,RK09L1240A12,VR3,ALPS 9mm 10K Dual-Gang Pot
3362P-1-103LF,1,3362P-1-103LF,VR4,Bourns 3362P 10K Trimmer
611-D6C90F2LFS,4,D6C90 F2 LFS,"S1,S2,S3,S4",Tactile Button
490-PJ-002A,1,PJ-002A,J8,2.1/5.5mm DC Jack
611-7101K2AV2BE,1,7101K2AV2BE,S5,Toggle Switch w/ Safety Actuator
538-90147-1206,1,90147-1206,J9,Radio Header
611-BTND610F,2,BTND610F,Gray button covers,Button Cap Gray
611-BTND600F,2,BTN D6 00 F,White button covers,Button Cap White
710-61301611121,1,61301611121,LCD HEADER,16-pin LCD Header
450-BA761,3,BA761,Knob,Potentiometer Knob
534-8291,4,534-8291,BAT1 Lugs,Keystone Female Crimp Lug
534-1285,2,1285,"J1A,J1B",Keystone PCB Male Tab 0.187in
709-GST18U18-P1J,1,GST18U18-P1J,Power Supply,18V 1A Power Supply
660-MF1/4DCT52R1802F,2,MF1/4DCT52R1802F,20K Opt. Variant,RES 18K (optional variant)
660-MOSX1CT528RR27J,1,MOSX1CT528RR27J,R30,RES 0.27R 1W Metal Oxide
80-A750MV108M1EAAE14,4,A750MV108M1EAAE014,"C4,C5,C6,C7",CAP 1000uF 25V Polymer Alum.
806-STX-3100-5N,6,STX-3100-5N,"J2,J3,J4,J5,J6,J7",3.5mm Stereo Jack PCB 5-pin w/Switch
42TU200-RC,2,42TU200-RC,"TR1,TR2",Output Transformer 200CT-8ohm
616-63025-510-000,1,63025-510-000,PACTEC Case,Pactec Case
584-LTC1661IN8#PBF,1,LTC1661IN8#PBF,U8A,LTC1661 Dual 10-bit DAC DIP-8
200-IDSD12D0200,,IDSD-12-D-02.00,Ribbon Cable,Ribbon Cable 12-cond
547-PS-1220F1,1,PS-1220F1,Battery,12V 2.5AH SLA Battery
